,0,1,2
686,4.14,134.68,1.0
687,3.0,139.9,1.0
688,2.95,132.89,1.0
689,4.08,113.56,1.0
690,0.79,277.7,1.0
691,1.31,214.49,1.0
692,1.07,214.31,1.0
693,1.0,206.97,1.0
694,1.02,195.65,1.0
695,7.68,182.39,1.0
696,11.22,147.3,1.0
697,8.19,152.63,1.0
698,11.79,127.66,1.0
699,24.47,95.3,1.0
700,2.13,173.9,1.0
701,1.22,192.01,1.0
702,1.38,171.68,1.0
703,1.13,173.11,1.0
704,1.4,153.6,1.0
705,30.81,107.3,1.0
706,55.97,80.58,1.0
707,46.46,80.0,1.0
708,30.81,86.63,1.0
709,38.36,76.69,1.0
710,23.8,124.06,1.0
711,42.6,93.63,1.0
712,13.76,127.33,1.0
713,14.94,116.99,1.0
714,25.03,93.8,1.0
715,1.1,292.96,1.0
716,1.45,244.53,1.0
717,3.26,174.35,1.0
718,3.46,161.4,1.0
719,5.15,134.54,1.0
720,1.54,278.75,1.0
721,1.08,287.57,1.0
722,1.26,254.92,1.0
723,1.14,248.61,1.0
724,0.62,289.36,1.0
725,3.9,165.3,1.0
726,2.99,165.45,1.0
727,2.89,156.28,1.0
728,1.91,169.48,1.0
729,1.3,183.2,1.0
730,3.27,199.76,1.0
731,4.07,170.26,1.0
732,3.13,173.38,1.0
733,1.15,228.83,1.0
734,0.65,263.87,1.0
735,0.53,401.9,1.0
736,0.8,320.8,1.0
737,0.6,330.47,1.0
738,1.07,257.12,1.0
739,0.47,322.28,1.0
740,20.53,167.6,1.0
741,17.47,162.04,1.0
742,15.54,157.22,1.0
743,10.69,168.2,1.0
744,9.78,165.01,1.0
745,1.41,337.47,1.0
746,2.84,244.88,1.0
747,1.71,270.24,1.0
748,1.16,291.0,1.0
749,1.26,269.25,1.0
750,14.47,112.69,1.0
751,11.78,83.68,1.0
752,39.04,102.0,1.0
753,31.76,75.76,1.0
754,13.64,128.79,1.0
755,9.93,99.27,1.0
756,43.1,110.57,1.0
757,33.27,83.57,1.0
758,11.84,146.56,1.0
759,6.02,127.34,1.0
760,36.86,126.47,1.0
761,27.68,96.47,1.0
762,12.42,153.96,1.0
763,7.05,128.9,1.0
764,33.49,139.35,1.0
765,31.95,98.15,1.0
766,13.75,157.06,1.0
767,12.6,112.1,1.0
768,31.75,149.7,1.0
769,33.11,102.36,1.0
770,17.0,128.49,1.0
771,8.19,113.67,1.0
772,48.11,114.46,1.0
773,63.34,72.41,1.0
774,7.77,152.64,1.0
775,5.83,116.43,1.0
776,19.02,142.68,1.0
777,14.52,108.25,1.0
778,36.29,133.48,1.0
779,18.84,115.15,1.0
780,61.54,141.03,1.0
781,77.23,90.65,1.0
782,6.23,251.78,1.0
783,5.54,181.57,1.0
784,23.11,204.9,1.0
785,18.83,152.12,1.0
786,11.88,211.71,1.0
787,7.62,170.24,1.0
788,29.85,196.24,1.0
789,47.07,116.89,1.0
790,19.22,154.22,1.0
791,16.42,112.69,1.0
792,49.4,141.84,1.0
793,46.58,100.29,1.0
794,14.93,187.64,1.0
795,18.15,121.91,1.0
796,43.43,165.6,1.0
797,59.4,103.45,1.0
